price,MatriculationMonth,MatriculationYear,km,cv,FuelType,gearboxType,Consume,city,province,Brand,Model,Preparation,Engine,Seats,ConsumeFuel,ConsumeFuelNotUrban,Emissions,Color,Metallizzato,Airbag,NumberDoors,EmissionClass,AirConditioning,Interior
5357,Gennaio,2009,85478.0,114.0,Benzina,Cambio manuale,,Roma,Torino,AUDI,A4,A4 1.3 Business 5p.,1318.0,4.0,4.4,,88.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 4,Climatizzatore manuale,
2319,Giugno,2008,268867.0,113.0,Benzina,Cambio manuale,,Roma,Roma,VOLKSWAGEN,Passat,Passat 1.7 Comfort 5p.,1670.0,5.0,4.4,,69.0,Nero,,Airbag anteriori e laterali,nan,nan,Climatizzatore manuale,
1004,Giugno,2004,227227.0,71.0,Diesel,Cambio automatico,,Roma,Torino,OPEL,Astra,Astra 1.3 Base 5p.,938.0,5.0,5.2,,104.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 6,Climatizzatore automatico,
4675,Marzo,2016,42868.0,76.0,Diesel,Cambio manuale,,Roma,Roma,FORD,Fiesta,Fiesta 1.4 Base 5p.,1136.0,4.0,5.8,,68.0,Grigio,,nan,4 o 5 porte,nan,nan,
6049,Gennaio,2017,32798.0,74.0,Benzina,Cambio automatico,,Roma,Milano,VOLKSWAGEN,Polo,Polo 1.8 Base 5p.,1065.0,5.0,2.8,,132.0,Bianco,,nan,nan,Euro 5,Climatizzatore manuale,
4294,Marzo,2014,41368.0,82.0,Metano,Cambio manuale,,Roma,Roma,FORD,Focus,Focus 1.2 Business 5p.,1272.0,4.0,3.4,,97.0,Grigio,,nan,nan,Euro 4,Climatizzatore automatico,
2182,Giugno,2010,156368.0,73.0,Benzina,Cambio automatico,,Roma,Milano,RENAULT,Clio,Clio 1.5 Comfort 5p.,1143.0,4.0,3.7,,137.0,Grigio,,nan,2 o 3 porte,nan,Climatizzatore automatico,
7249,Gennaio,2019,500.0,105.0,Diesel,Cambio manuale,,Roma,Roma,PEUGEOT,208,208 1.8 Comfort 5p.,1423.0,5.0,4.9,,116.0,Nero,,Airbag anteriori e laterali,4 o 5 porte,Euro 5,nan,
12766,Gennaio,2015,77637.0,141.0,Diesel,Cambio automatico,,Roma,Milano,BMW,X1,X1 1.7 Sport 5p.,2153.0,4.0,4.8,,147.0,Bianco,,Airbag anteriori e laterali,nan,Euro 4,nan,
1437,No Mese,2009,206900.0,69.0,Diesel,Cambio manuale,,Roma,Milano,FIAT,Tipo,Tipo 1.3 Sport 5p.,901.0,5.0,6.8,,174.0,Grigio,,Airbag anteriori e laterali,nan,Euro 5,Climatizzatore automatico,
1064,No Mese,2004,312877.0,72.0,Diesel,Cambio manuale,,Roma,Milano,VOLKSWAGEN,Golf,Golf 1.6 Business 5p.,966.0,7.0,5.5,,151.0,Grigio,,Airbag anteriori e laterali,4 o 5 porte,Euro 4,nan,
1224,Giugno,2004,123785.0,75.0,Diesel,Cambio manuale,,Roma,Torino,PEUGEOT,308,308 1.8 Comfort 5p.,965.0,7.0,3.0,,94.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 5,nan,
1225,Giugno,2008,257867.0,92.0,Elettrico,Cambio manuale,,Roma,Torino,FIAT,Tipo,Tipo 1.8 Sport 5p.,1495.0,7.0,3.6,,117.0,Bianco,,Airbag anteriori e laterali,nan,Euro 5,Climatizzatore automatico,
5837,Marzo,2017,15578.0,81.0,Benzina,Cambio automatico,,Roma,Roma,DR,DR5,DR5 1.8 Base 5p.,1243.0,7.0,6.2,,149.0,Bianco,,Airbag conducente,2 o 3 porte,Euro 6,nan,
12259,Giugno,2016,37117.0,108.0,Diesel,Cambio manuale,,Roma,Milano,AUDI,A4,A4 1.6 Base 5p.,1679.0,5.0,5.0,,116.0,Bianco,,nan,2 o 3 porte,Euro 6,nan,
1990,Giugno,2011,82432.0,47.0,Diesel,Cambio automatico,,Roma,Milano,FIAT,Panda,Panda 1.3 Business 5p.,599.0,4.0,5.1,,154.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 6,nan,
3268,Marzo,2010,35079.0,117.0,Diesel,Cambio manuale,,Roma,Milano,PEUGEOT,208,208 1.2 Comfort 5p.,1528.0,5.0,7.0,,115.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 5,Climatizzatore automatico,
3113,No Mese,2011,73873.0,73.0,Benzina,Cambio manuale,,Roma,Torino,PEUGEOT,208,208 1.2 Comfort 5p.,1052.0,5.0,7.2,,104.0,Nero,,Airbag conducente,4 o 5 porte,nan,Climatizzatore manuale,
1913,Marzo,2010,143619.0,79.0,Diesel,Cambio manuale,,Roma,Milano,FIAT,Panda,Panda 1.8 Comfort 5p.,1051.0,4.0,5.5,,130.0,Nero,,Airbag anteriori e laterali,4 o 5 porte,Euro 4,nan,
